Report Date,Health District,Age Group Type,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
01/15/2024,Alexandria,Case Age Group,30-39 Years,11133,102,3
01/15/2024,Alexandria,Case Age Group,40-49 Years,7337,122,13
01/15/2024,Alexandria,Case Age Group,50-59 Years,5365,149,26
01/15/2024,Alexandria,Case Age Group,60-69 Years,3352,159,38
01/15/2024,Alexandria,Case Age Group,70-79 Years,1835,135,63
01/15/2024,Alexandria,Case Age Group,80+ Years,1170,112,105
01/15/2024,Alexandria,Case Age Group,Missing,6,0,0
01/15/2024,Arlington,Case Age Group,0-9 Years,6885,29,2
01/15/2024,Arlington,Case Age Group,10-19 Years,6460,18,0
01/15/2024,Arlington,Case Age Group,20-29 Years,16899,51,0
01/15/2024,Arlington,Case Age Group,30-39 Years,13758,100,2
01/15/2024,Arlington,Case Age Group,40-49 Years,9943,133,18
01/15/2024,Arlington,Case Age Group,50-59 Years,7138,192,26
01/15/2024,Arlington,Case Age Group,60-69 Years,4333,229,50
01/15/2024,Arlington,Case Age Group,70-79 Years,2582,287,87
01/15/2024,Arlington,Case Age Group,80+ Years,1634,367,201
01/15/2024,Arlington,Case Age Group,Missing,10,0,0
01/15/2024,Fairfax,Case Age Group,0-9 Years,28805,116,1
01/15/2024,Fairfax,Case Age Group,10-19 Years,33288,75,1
01/15/2024,Fairfax,Case Age Group,20-29 Years,45219,216,8
01/15/2024,Fairfax,Case Age Group,30-39 Years,46667,407,23
01/15/2024,Fairfax,Case Age Group,40-49 Years,43194,617,50
01/15/2024,Fairfax,Case Age Group,50-59 Years,38078,879,139
01/15/2024,Fairfax,Case Age Group,60-69 Years,26277,1022,241
01/15/2024,Fairfax,Case Age Group,70-79 Years,14127,942,397
01/15/2024,Fairfax,Case Age Group,80+ Years,10287,1327,1026
01/15/2024,Fairfax,Case Age Group,Missing,27,0,0
01/15/2024,Loudoun,Case Age Group,0-9 Years,12027,68,0
01/15/2024,Loudoun,Case Age Group,10-19 Years,14920,25,2
01/15/2024,Loudoun,Case Age Group,20-29 Years,14137,70,3
01/15/2024,Loudoun,Case Age Group,30-39 Years,16652,158,3
01/15/2024,Loudoun,Case Age Group,40-49 Years,18171,258,14
01/15/2024,Loudoun,Case Age Group,50-59 Years,15421,336,32
01/15/2024,Loudoun,Case Age Group,60-69 Years,7953,332,49
01/15/2024,Loudoun,Case Age Group,70-79 Years,3992,401,102
01/15/2024,Loudoun,Case Age Group,80+ Years,2644,508,267
01/15/2024,Loudoun,Case Age Group,Missing,64,0,0
01/15/2024,Prince William,Case Age Group,0-9 Years,15931,222,1
01/15/2024,Prince William,Case Age Group,10-19 Years,18840,185,1
01/15/2024,Prince William,Case Age Group,20-29 Years,25773,367,10
01/15/2024,Prince William,Case Age Group,30-39 Years,26105,514,27
01/15/2024,Prince William,Case Age Group,40-49 Years,24805,620,48
01/15/2024,Prince William,Case Age Group,50-59 Years,21741,750,112
01/15/2024,Prince William,Case Age Group,60-69 Years,12501,599,201
01/15/2024,Prince William,Case Age Group,70-79 Years,5984,489,238
01/15/2024,Prince William,Case Age Group,80+ Years,3195,366,359
01/15/2024,Prince William,Case Age Group,Missing,188,0,0
01/14/2024,Alexandria,Case Age Group,0-9 Years,5358,17,0
01/14/2024,Alexandria,Case Age Group,10-19 Years,3714,19,0
01/14/2024,Alexandria,Case Age Group,20-29 Years,8545,43,2
01/14/2024,Alexandria,Case Age Group,30-39 Years,11131,102,3
01/14/2024,Alexandria,Case Age Group,40-49 Years,7337,122,13
01/14/2024,Alexandria,Case Age Group,50-59 Years,5365,149,26
01/14/2024,Alexandria,Case Age Group,60-69 Years,3347,159,38
01/14/2024,Alexandria,Case Age Group,70-79 Years,1834,135,63
01/14/2024,Alexandria,Case Age Group,80+ Years,1171,112,105
01/14/2024,Alexandria,Case Age Group,Missing,6,0,0
01/14/2024,Arlington,Case Age Group,0-9 Years,6882,29,2
01/14/2024,Arlington,Case Age Group,10-19 Years,6460,18,0
01/14/2024,Arlington,Case Age Group,20-29 Years,16898,51,0
01/14/2024,Arlington,Case Age Group,30-39 Years,13757,100,2
01/14/2024,Arlington,Case Age Group,40-49 Years,9941,133,18
01/14/2024,Arlington,Case Age Group,50-59 Years,7138,192,26
01/14/2024,Arlington,Case Age Group,60-69 Years,4332,229,50
01/14/2024,Arlington,Case Age Group,70-79 Years,2581,286,87
01/14/2024,Arlington,Case Age Group,80+ Years,1634,367,201
01/14/2024,Arlington,Case Age Group,Missing,10,0,0
01/14/2024,Fairfax,Case Age Group,0-9 Years,28800,115,1
01/14/2024,Fairfax,Case Age Group,10-19 Years,33285,75,1
01/14/2024,Fairfax,Case Age Group,20-29 Years,45211,216,8
01/14/2024,Fairfax,Case Age Group,30-39 Years,46662,407,23
01/14/2024,Fairfax,Case Age Group,40-49 Years,43188,616,50
01/14/2024,Fairfax,Case Age Group,50-59 Years,38071,879,139
01/14/2024,Fairfax,Case Age Group,60-69 Years,26265,1022,241
01/14/2024,Fairfax,Case Age Group,70-79 Years,14126,942,397
01/14/2024,Fairfax,Case Age Group,80+ Years,10278,1326,1026
01/14/2024,Fairfax,Case Age Group,Missing,27,0,0
01/14/2024,Loudoun,Case Age Group,0-9 Years,12022,68,0
01/14/2024,Loudoun,Case Age Group,10-19 Years,14919,25,2
01/14/2024,Loudoun,Case Age Group,20-29 Years,14131,70,3
01/14/2024,Loudoun,Case Age Group,30-39 Years,16645,158,3
01/14/2024,Loudoun,Case Age Group,40-49 Years,18158,257,14
01/14/2024,Loudoun,Case Age Group,50-59 Years,15413,336,32
01/14/2024,Loudoun,Case Age Group,60-69 Years,7951,332,49
01/14/2024,Loudoun,Case Age Group,70-79 Years,3988,401,102
01/14/2024,Loudoun,Case Age Group,80+ Years,2642,508,267
01/14/2024,Loudoun,Case Age Group,Missing,64,0,0
01/14/2024,Prince William,Case Age Group,0-9 Years,15923,222,1
01/14/2024,Prince William,Case Age Group,10-19 Years,18834,185,1
01/14/2024,Prince William,Case Age Group,20-29 Years,25766,366,10
01/14/2024,Prince William,Case Age Group,30-39 Years,26100,514,27
01/14/2024,Prince William,Case Age Group,40-49 Years,24794,620,48
01/14/2024,Prince William,Case Age Group,50-59 Years,21725,750,112
01/14/2024,Prince William,Case Age Group,60-69 Years,12497,599,201
01/14/2024,Prince William,Case Age Group,70-79 Years,5983,489,238
01/14/2024,Prince William,Case Age Group,80+ Years,3190,366,359
01/14/2024,Prince William,Case Age Group,Missing,188,0,0
01/13/2024,Alexandria,Case Age Group,0-9 Years,5354,17,0
01/13/2024,Alexandria,Case Age Group,10-19 Years,3714,19,0
01/13/2024,Alexandria,Case Age Group,20-29 Years,8543,43,2
01/13/2024,Alexandria,Case Age Group,30-39 Years,11127,102,3
01/13/2024,Alexandria,Case Age Group,40-49 Years,7336,122,13
01/13/2024,Alexandria,Case Age Group,50-59 Years,5364,149,26
01/13/2024,Alexandria,Case Age Group,60-69 Years,3346,159,38
01/13/2024,Alexandria,Case Age Group,70-79 Years,1832,135,63
01/13/2024,Alexandria,Case Age Group,80+ Years,1169,112,105
01/13/2024,Alexandria,Case Age Group,Missing,6,0,0
01/13/2024,Arlington,Case Age Group,0-9 Years,6878,29,2
01/13/2024,Arlington,Case Age Group,10-19 Years,6459,18,0
01/13/2024,Arlington,Case Age Group,20-29 Years,16898,51,0
01/13/2024,Arlington,Case Age Group,30-39 Years,13757,100,2
01/13/2024,Arlington,Case Age Group,40-49 Years,9941,133,18
01/13/2024,Arlington,Case Age Group,50-59 Years,7136,192,26
01/13/2024,Arlington,Case Age Group,60-69 Years,4329,229,50
01/13/2024,Arlington,Case Age Group,70-79 Years,2581,286,87
01/13/2024,Arlington,Case Age Group,80+ Years,1634,367,201
01/13/2024,Arlington,Case Age Group,Missing,10,0,0
01/13/2024,Fairfax,Case Age Group,0-9 Years,28791,115,1
01/13/2024,Fairfax,Case Age Group,10-19 Years,33281,75,1
01/13/2024,Fairfax,Case Age Group,20-29 Years,45204,216,8
01/13/2024,Fairfax,Case Age Group,30-39 Years,46650,407,23
01/13/2024,Fairfax,Case Age Group,40-49 Years,43181,616,50
01/13/2024,Fairfax,Case Age Group,50-59 Years,38054,879,139
01/13/2024,Fairfax,Case Age Group,60-69 Years,26249,1021,241
01/13/2024,Fairfax,Case Age Group,70-79 Years,14117,942,397
01/13/2024,Fairfax,Case Age Group,80+ Years,10267,1326,1026
01/13/2024,Fairfax,Case Age Group,Missing,27,0,0
01/13/2024,Loudoun,Case Age Group,0-9 Years,12015,68,0
01/13/2024,Loudoun,Case Age Group,10-19 Years,14915,25,2
01/13/2024,Loudoun,Case Age Group,20-29 Years,14127,70,3
01/13/2024,Loudoun,Case Age Group,30-39 Years,16642,158,3
01/13/2024,Loudoun,Case Age Group,40-49 Years,18153,257,14
01/13/2024,Loudoun,Case Age Group,50-59 Years,15411,336,32
01/13/2024,Loudoun,Case Age Group,60-69 Years,7943,332,49
01/13/2024,Loudoun,Case Age Group,70-79 Years,3985,401,102
01/13/2024,Loudoun,Case Age Group,80+ Years,2639,508,267
01/13/2024,Loudoun,Case Age Group,Missing,64,0,0
01/13/2024,Prince William,Case Age Group,0-9 Years,15916,222,1
01/13/2024,Prince William,Case Age Group,10-19 Years,18830,185,1
01/13/2024,Prince William,Case Age Group,20-29 Years,25756,366,10
01/13/2024,Prince William,Case Age Group,30-39 Years,26091,514,27
01/13/2024,Prince William,Case Age Group,40-49 Years,24794,620,48
01/13/2024,Prince William,Case Age Group,50-59 Years,21713,750,112
01/13/2024,Prince William,Case Age Group,60-69 Years,12490,599,201
01/13/2024,Prince William,Case Age Group,70-79 Years,5982,489,238
01/13/2024,Prince William,Case Age Group,80+ Years,3186,366,359
01/13/2024,Prince William,Case Age Group,Missing,188,0,0
01/12/2024,Alexandria,Case Age Group,0-9 Years,5353,17,0
01/12/2024,Alexandria,Case Age Group,10-19 Years,3712,18,0
01/12/2024,Alexandria,Case Age Group,20-29 Years,8541,43,2
01/12/2024,Alexandria,Case Age Group,30-39 Years,11126,102,3
01/12/2024,Alexandria,Case Age Group,40-49 Years,7337,122,13
01/12/2024,Alexandria,Case Age Group,50-59 Years,5363,149,26
01/12/2024,Alexandria,Case Age Group,60-69 Years,3346,159,38
01/12/2024,Alexandria,Case Age Group,70-79 Years,1828,135,63
01/12/2024,Alexandria,Case Age Group,80+ Years,1169,112,105
01/12/2024,Alexandria,Case Age Group,Missing,6,0,0
01/12/2024,Arlington,Case Age Group,0-9 Years,6874,29,2
01/12/2024,Arlington,Case Age Group,10-19 Years,6458,18,0
01/12/2024,Arlington,Case Age Group,20-29 Years,16894,51,0
01/12/2024,Arlington,Case Age Group,30-39 Years,13756,100,2
01/12/2024,Arlington,Case Age Group,40-49 Years,9940,133,18
01/12/2024,Arlington,Case Age Group,50-59 Years,7134,192,26
01/12/2024,Arlington,Case Age Group,60-69 Years,4326,229,50
01/12/2024,Arlington,Case Age Group,70-79 Years,2580,286,87
01/12/2024,Arlington,Case Age Group,80+ Years,1633,367,201
01/12/2024,Arlington,Case Age Group,Missing,10,0,0
01/12/2024,Fairfax,Case Age Group,0-9 Years,28783,115,1
01/12/2024,Fairfax,Case Age Group,10-19 Years,33276,75,1
01/12/2024,Fairfax,Case Age Group,20-29 Years,45186,216,8
01/12/2024,Fairfax,Case Age Group,30-39 Years,46645,407,23
01/12/2024,Fairfax,Case Age Group,40-49 Years,43164,616,50
01/12/2024,Fairfax,Case Age Group,50-59 Years,38034,879,139
01/12/2024,Fairfax,Case Age Group,60-69 Years,26240,1021,241
01/12/2024,Fairfax,Case Age Group,70-79 Years,14108,942,397
01/12/2024,Fairfax,Case Age Group,80+ Years,10258,1325,1026
01/12/2024,Fairfax,Case Age Group,Missing,27,0,0
01/12/2024,Loudoun,Case Age Group,0-9 Years,12001,68,0
01/12/2024,Loudoun,Case Age Group,10-19 Years,14899,25,2
01/12/2024,Loudoun,Case Age Group,20-29 Years,14123,70,3
01/12/2024,Loudoun,Case Age Group,30-39 Years,16635,158,3
01/12/2024,Loudoun,Case Age Group,40-49 Years,18140,257,14
01/12/2024,Loudoun,Case Age Group,50-59 Years,15399,336,32
01/12/2024,Loudoun,Case Age Group,60-69 Years,7938,332,49
01/12/2024,Loudoun,Case Age Group,70-79 Years,3981,401,102
01/12/2024,Loudoun,Case Age Group,80+ Years,2632,507,267
01/12/2024,Loudoun,Case Age Group,Missing,63,0,0
01/12/2024,Prince William,Case Age Group,0-9 Years,15908,222,1
01/12/2024,Prince William,Case Age Group,10-19 Years,18822,185,1
01/12/2024,Prince William,Case Age Group,20-29 Years,25747,366,10
01/12/2024,Prince William,Case Age Group,30-39 Years,26076,514,27
01/12/2024,Prince William,Case Age Group,40-49 Years,24781,620,48
01/12/2024,Prince William,Case Age Group,50-59 Years,21693,750,112
01/12/2024,Prince William,Case Age Group,60-69 Years,12477,599,201
01/12/2024,Prince William,Case Age Group,70-79 Years,5969,489,238
01/12/2024,Prince William,Case Age Group,80+ Years,3181,366,359
01/12/2024,Prince William,Case Age Group,Missing,188,0,0
01/11/2024,Alexandria,Case Age Group,0-9 Years,5352,17,0
01/11/2024,Alexandria,Case Age Group,10-19 Years,3711,18,0
01/11/2024,Alexandria,Case Age Group,20-29 Years,8540,43,2
01/11/2024,Alexandria,Case Age Group,30-39 Years,11123,102,3
01/11/2024,Alexandria,Case Age Group,40-49 Years,7336,122,13
01/11/2024,Alexandria,Case Age Group,50-59 Years,5360,149,26
01/11/2024,Alexandria,Case Age Group,60-69 Years,3347,159,38
01/11/2024,Alexandria,Case Age Group,70-79 Years,1828,135,63
01/11/2024,Alexandria,Case Age Group,80+ Years,1168,112,105
01/11/2024,Alexandria,Case Age Group,Missing,6,0,0
01/11/2024,Arlington,Case Age Group,0-9 Years,6870,29,2
01/11/2024,Arlington,Case Age Group,10-19 Years,6458,18,0
01/11/2024,Arlington,Case Age Group,20-29 Years,16893,51,0
01/11/2024,Arlington,Case Age Group,30-39 Years,13754,100,2
01/11/2024,Arlington,Case Age Group,40-49 Years,9938,133,18
01/11/2024,Arlington,Case Age Group,50-59 Years,7133,192,26
01/11/2024,Arlington,Case Age Group,60-69 Years,4323,229,50
01/11/2024,Arlington,Case Age Group,70-79 Years,2579,286,87
01/11/2024,Arlington,Case Age Group,80+ Years,1632,367,201
01/11/2024,Arlington,Case Age Group,Missing,10,0,0
01/11/2024,Fairfax,Case Age Group,0-9 Years,28771,115,1
01/11/2024,Fairfax,Case Age Group,10-19 Years,33270,75,1
01/11/2024,Fairfax,Case Age Group,20-29 Years,45178,216,8
01/11/2024,Fairfax,Case Age Group,30-39 Years,46632,407,23
01/11/2024,Fairfax,Case Age Group,40-49 Years,43154,616,50
01/11/2024,Fairfax,Case Age Group,50-59 Years,38014,879,139
01/11/2024,Fairfax,Case Age Group,60-69 Years,26220,1021,241
01/11/2024,Fairfax,Case Age Group,70-79 Years,14092,942,397
01/11/2024,Fairfax,Case Age Group,80+ Years,10249,1325,1026
01/11/2024,Fairfax,Case Age Group,Missing,27,0,0
01/11/2024,Loudoun,Case Age Group,0-9 Years,11992,68,0
01/11/2024,Loudoun,Case Age Group,10-19 Years,14896,25,2
01/11/2024,Loudoun,Case Age Group,20-29 Years,14118,70,3
01/11/2024,Loudoun,Case Age Group,30-39 Years,16626,158,3
01/11/2024,Loudoun,Case Age Group,40-49 Years,18132,257,14
01/11/2024,Loudoun,Case Age Group,50-59 Years,15390,337,32
01/11/2024,Loudoun,Case Age Group,60-69 Years,7930,332,49
01/11/2024,Loudoun,Case Age Group,70-79 Years,3974,401,102
01/11/2024,Loudoun,Case Age Group,80+ Years,2628,507,267
01/11/2024,Loudoun,Case Age Group,Missing,63,0,0
01/11/2024,Prince William,Case Age Group,0-9 Years,15903,222,1
01/11/2024,Prince William,Case Age Group,10-19 Years,18815,185,1
01/11/2024,Prince William,Case Age Group,20-29 Years,25737,366,10
01/11/2024,Prince William,Case Age Group,30-39 Years,26066,513,27
01/11/2024,Prince William,Case Age Group,40-49 Years,24770,621,48
01/11/2024,Prince William,Case Age Group,50-59 Years,21681,749,112
01/11/2024,Prince William,Case Age Group,60-69 Years,12472,599,201
01/11/2024,Prince William,Case Age Group,70-79 Years,5965,488,238
01/11/2024,Prince William,Case Age Group,80+ Years,3182,366,359
01/11/2024,Prince William,Case Age Group,Missing,188,0,0
01/10/2024,Alexandria,Case Age Group,0-9 Years,5352,17,0
01/10/2024,Alexandria,Case Age Group,10-19 Years,3710,18,0
01/10/2024,Alexandria,Case Age Group,20-29 Years,8530,43,2
01/10/2024,Alexandria,Case Age Group,30-39 Years,11120,102,3
01/10/2024,Alexandria,Case Age Group,40-49 Years,7327,122,13
01/10/2024,Alexandria,Case Age Group,50-59 Years,5357,149,26
01/10/2024,Alexandria,Case Age Group,60-69 Years,3343,159,38
01/10/2024,Alexandria,Case Age Group,70-79 Years,1825,135,63
01/10/2024,Alexandria,Case Age Group,80+ Years,1165,111,104
01/10/2024,Alexandria,Case Age Group,Missing,6,0,0
01/10/2024,Arlington,Case Age Group,0-9 Years,6864,29,2
01/10/2024,Arlington,Case Age Group,10-19 Years,6458,18,0
01/10/2024,Arlington,Case Age Group,20-29 Years,16891,51,0
01/10/2024,Arlington,Case Age Group,30-39 Years,13751,100,2
01/10/2024,Arlington,Case Age Group,40-49 Years,9931,133,18
01/10/2024,Arlington,Case Age Group,50-59 Years,7129,192,26
01/10/2024,Arlington,Case Age Group,60-69 Years,4320,229,49
01/10/2024,Arlington,Case Age Group,70-79 Years,2572,286,87
01/10/2024,Arlington,Case Age Group,80+ Years,1631,367,201
01/10/2024,Arlington,Case Age Group,Missing,10,0,0
01/10/2024,Fairfax,Case Age Group,0-9 Years,28751,115,1
01/10/2024,Fairfax,Case Age Group,10-19 Years,33261,75,1
01/10/2024,Fairfax,Case Age Group,20-29 Years,45163,216,8
01/10/2024,Fairfax,Case Age Group,30-39 Years,46611,407,23
01/10/2024,Fairfax,Case Age Group,40-49 Years,43138,616,50
01/10/2024,Fairfax,Case Age Group,50-59 Years,37997,879,139
01/10/2024,Fairfax,Case Age Group,60-69 Years,26200,1019,241
01/10/2024,Fairfax,Case Age Group,70-79 Years,14069,941,397
01/10/2024,Fairfax,Case Age Group,80+ Years,10235,1324,1025
01/10/2024,Fairfax,Case Age Group,Missing,27,0,0
01/10/2024,Loudoun,Case Age Group,0-9 Years,11986,68,0
01/10/2024,Loudoun,Case Age Group,10-19 Years,14894,25,2
01/10/2024,Loudoun,Case Age Group,20-29 Years,14110,70,3
01/10/2024,Loudoun,Case Age Group,30-39 Years,16616,157,3
01/10/2024,Loudoun,Case Age Group,40-49 Years,18116,257,14
01/10/2024,Loudoun,Case Age Group,50-59 Years,15377,336,32
01/10/2024,Loudoun,Case Age Group,60-69 Years,7922,332,49
01/10/2024,Loudoun,Case Age Group,70-79 Years,3968,401,102
01/10/2024,Loudoun,Case Age Group,80+ Years,2625,506,267
01/10/2024,Loudoun,Case Age Group,Missing,63,0,0
01/10/2024,Prince William,Case Age Group,0-9 Years,15893,222,1
01/10/2024,Prince William,Case Age Group,10-19 Years,18812,185,1
01/10/2024,Prince William,Case Age Group,20-29 Years,25729,366,10
01/10/2024,Prince William,Case Age Group,30-39 Years,26052,513,27
01/10/2024,Prince William,Case Age Group,40-49 Years,24760,620,48
01/10/2024,Prince William,Case Age Group,50-59 Years,21665,749,112
01/10/2024,Prince William,Case Age Group,60-69 Years,12458,599,201
01/10/2024,Prince William,Case Age Group,70-79 Years,5957,488,238
01/10/2024,Prince William,Case Age Group,80+ Years,3180,366,359
01/10/2024,Prince William,Case Age Group,Missing,188,0,0
01/09/2024,Alexandria,Case Age Group,0-9 Years,5350,17,0
01/09/2024,Alexandria,Case Age Group,10-19 Years,3710,18,0
01/09/2024,Alexandria,Case Age Group,20-29 Years,8525,43,2
01/09/2024,Alexandria,Case Age Group,30-39 Years,11115,102,3
01/09/2024,Alexandria,Case Age Group,40-49 Years,7323,122,13
01/09/2024,Alexandria,Case Age Group,50-59 Years,5355,149,26
01/09/2024,Alexandria,Case Age Group,60-69 Years,3341,159,38
01/09/2024,Alexandria,Case Age Group,70-79 Years,1825,135,63
01/09/2024,Alexandria,Case Age Group,80+ Years,1160,111,104
01/09/2024,Alexandria,Case Age Group,Missing,6,0,0
01/09/2024,Arlington,Case Age Group,0-9 Years,6863,29,2
01/09/2024,Arlington,Case Age Group,10-19 Years,6454,18,0
01/09/2024,Arlington,Case Age Group,20-29 Years,16887,51,0
01/09/2024,Arlington,Case Age Group,30-39 Years,13750,100,2
01/09/2024,Arlington,Case Age Group,40-49 Years,9927,133,18
01/09/2024,Arlington,Case Age Group,50-59 Years,7129,192,26
01/09/2024,Arlington,Case Age Group,60-69 Years,4320,229,49
01/09/2024,Arlington,Case Age Group,70-79 Years,2571,286,87
01/09/2024,Arlington,Case Age Group,80+ Years,1629,367,201
01/09/2024,Arlington,Case Age Group,Missing,10,0,0
01/09/2024,Fairfax,Case Age Group,0-9 Years,28736,115,1
01/09/2024,Fairfax,Case Age Group,10-19 Years,33252,75,1
01/09/2024,Fairfax,Case Age Group,20-29 Years,45142,216,8
01/09/2024,Fairfax,Case Age Group,30-39 Years,46594,407,23
01/09/2024,Fairfax,Case Age Group,40-49 Years,43116,616,50
01/09/2024,Fairfax,Case Age Group,50-59 Years,37973,879,139
01/09/2024,Fairfax,Case Age Group,60-69 Years,26180,1019,241
01/09/2024,Fairfax,Case Age Group,70-79 Years,14044,940,397
01/09/2024,Fairfax,Case Age Group,80+ Years,10217,1324,1025
01/09/2024,Fairfax,Case Age Group,Missing,27,0,0
01/09/2024,Loudoun,Case Age Group,0-9 Years,11980,67,0
01/09/2024,Loudoun,Case Age Group,10-19 Years,14884,25,2
01/09/2024,Loudoun,Case Age Group,20-29 Years,14105,70,3
01/09/2024,Loudoun,Case Age Group,30-39 Years,16600,157,3
01/09/2024,Loudoun,Case Age Group,40-49 Years,18104,256,14
01/09/2024,Loudoun,Case Age Group,50-59 Years,15366,335,32
01/09/2024,Loudoun,Case Age Group,60-69 Years,7914,332,49
01/09/2024,Loudoun,Case Age Group,70-79 Years,3967,401,102
01/09/2024,Loudoun,Case Age Group,80+ Years,2617,507,267
01/09/2024,Loudoun,Case Age Group,Missing,63,0,0
01/09/2024,Prince William,Case Age Group,0-9 Years,15882,222,1
01/09/2024,Prince William,Case Age Group,10-19 Years,18803,185,1
01/09/2024,Prince William,Case Age Group,20-29 Years,25724,366,10
01/09/2024,Prince William,Case Age Group,30-39 Years,26040,513,27
01/09/2024,Prince William,Case Age Group,40-49 Years,24749,620,48
01/09/2024,Prince William,Case Age Group,50-59 Years,21660,749,112
01/09/2024,Prince William,Case Age Group,60-69 Years,12449,599,201
01/09/2024,Prince William,Case Age Group,70-79 Years,5955,488,238
01/09/2024,Prince William,Case Age Group,80+ Years,3174,366,359
01/09/2024,Prince William,Case Age Group,Missing,188,0,0
01/08/2024,Alexandria,Case Age Group,0-9 Years,5347,17,0
01/08/2024,Alexandria,Case Age Group,10-19 Years,3711,18,0
01/08/2024,Alexandria,Case Age Group,20-29 Years,8523,43,2
01/08/2024,Alexandria,Case Age Group,30-39 Years,11111,102,3
01/08/2024,Alexandria,Case Age Group,40-49 Years,7322,122,13
01/08/2024,Alexandria,Case Age Group,50-59 Years,5353,149,26
01/08/2024,Alexandria,Case Age Group,60-69 Years,3339,159,38
01/08/2024,Alexandria,Case Age Group,70-79 Years,1825,135,62
01/08/2024,Alexandria,Case Age Group,80+ Years,1159,111,103
01/08/2024,Alexandria,Case Age Group,Missing,6,0,0
01/08/2024,Arlington,Case Age Group,0-9 Years,6862,29,2
01/08/2024,Arlington,Case Age Group,10-19 Years,6450,18,0
01/08/2024,Arlington,Case Age Group,20-29 Years,16886,51,0
01/08/2024,Arlington,Case Age Group,30-39 Years,13749,100,2
01/08/2024,Arlington,Case Age Group,40-49 Years,9920,133,18
01/08/2024,Arlington,Case Age Group,50-59 Years,7129,192,26
01/08/2024,Arlington,Case Age Group,60-69 Years,4317,229,49
01/08/2024,Arlington,Case Age Group,70-79 Years,2566,286,87
01/08/2024,Arlington,Case Age Group,80+ Years,1627,367,201
